election_key,election_year,election_date,election_label,electoral_system,status,is_complete,comparability_notes,source_notes
assemblea_costituente_1946,1946,1946-06-02,Assemblea Costituente 1946,constituent_assembly_list,completed,true,official_eligendo_opendata_zip; election_type=assemblea_costituente; primary_member=assemblea_costituente-19460602.txt; unresolved_geometry_rows=2196,source=eligendo_opendata_zip; scope=italy; election_type=assemblea_costituente; archive=assemblea_costituente-19460602.zip; primary_member=assemblea_costituente-19460602.txt; source_rows=68172; included_rows=68172; unique_municipalities=7148; summary_rows=7148; result_rows=66613
camera_1948,1948,1948-04-18,Camera 1948,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19480418.txt; unresolved_geometry_rows=2806,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19480418.zip; primary_member=camera-19480418.txt; source_rows=84192; included_rows=84192; unique_municipalities=7618; summary_rows=7618; result_rows=75533
camera_1953,1953,1953-06-07,Camera 1953,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19530607.txt; unresolved_geometry_rows=3380,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19530607.zip; primary_member=camera-19530607.txt; source_rows=91272; included_rows=91272; unique_municipalities=7812; summary_rows=7812; result_rows=84967
camera_1958,1958,1958-05-25,Camera 1958,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19580525.txt; unresolved_geometry_rows=3109,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19580525.zip; primary_member=camera-19580525.txt; source_rows=85751; included_rows=85751; unique_municipalities=7943; summary_rows=7943; result_rows=80534
camera_1963,1963,1963-04-28,Camera 1963,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19630428.txt; unresolved_geometry_rows=2475,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19630428.zip; primary_member=camera-19630428.txt; source_rows=74230; included_rows=74230; unique_municipalities=7997; summary_rows=7997; result_rows=73921
camera_1968,1968,1968-05-19,Camera 1968,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19680519.txt; unresolved_geometry_rows=2602,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19680519.zip; primary_member=camera-19680519.txt; source_rows=77771; included_rows=77771; unique_municipalities=8015; summary_rows=8015; result_rows=73682
camera_1972,1972,1972-05-07,Camera 1972,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19720507.txt; unresolved_geometry_rows=2960,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19720507.zip; primary_member=camera-19720507.txt; source_rows=90169; included_rows=90169; unique_municipalities=8018; summary_rows=8018; result_rows=85415
camera_1976,1976,1976-06-20,Camera 1976,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19760620.txt; unresolved_geometry_rows=2589,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19760620.zip; primary_member=camera-19760620.txt; source_rows=76947; included_rows=76947; unique_municipalities=8028; summary_rows=8028; result_rows=74089
camera_1979,1979,1979-06-03,Camera 1979,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19790603.txt; unresolved_geometry_rows=3107,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19790603.zip; primary_member=camera-19790603.txt; source_rows=95554; included_rows=95554; unique_municipalities=8042; summary_rows=8042; result_rows=91220
camera_1983,1983,1983-06-26,Camera 1983,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19830626.txt; unresolved_geometry_rows=3100,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19830626.zip; primary_member=camera-19830626.txt; source_rows=92862; included_rows=92862; unique_municipalities=8050; summary_rows=8050; result_rows=88885
camera_1987,1987,1987-06-14,Camera 1987,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=Camera-19870614.txt; unresolved_geometry_rows=3853,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19870614.zip; primary_member=Camera-19870614.txt; source_rows=117345; included_rows=117345; unique_municipalities=8055; summary_rows=8055; result_rows=106925
camera_1992,1992,1992-04-05,Camera 1992,proportional_list,completed,true,official_eligendo_opendata_zip; election_type=camera; primary_member=camera-19920405.txt; unresolved_geometry_rows=4400,source=eligendo_opendata_zip; scope=italy; election_type=camera; archive=camera-19920405.zip; primary_member=camera-19920405.txt; source_rows=138489; included_rows=138489; unique_municipalities=8063; summary_rows=8063; result_rows=120749
