election_key,election_year,election_date,municipality_id,municipality_name,province,region,geometry_id,territorial_mode,territorial_status,turnout_pct,electors,voters,valid_votes,total_votes,first_party_std,first_party_share,second_party_std,second_party_share,first_second_margin,dominant_block,comparability_note,completeness_flag
camera_1994,1994,,1450,Milano 1,,Lombardia,1450,historical,observed,87.41,112892.0,98680.0,96231.0,98680.0,Forza Italia,28.85097302466308,Forza Italia,28.635736094925633,0.215236929737447,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,150,Basiglio,Milano,Lombardia,015015,historical,observed,92.65,5004.0,4636.0,4532.0,4636.0,Lega,69.21838542442359,Lega,38.29705750941469,30.921327915008895,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,240,Binasco,Milano,Lombardia,015024,historical,observed,94.31,5433.0,5124.0,4911.0,5124.0,Forza Italia,38.767791438623696,Lega,38.0671687017811,0.7006227368425968,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,350,Bubbiano,Milano,Lombardia,015035,historical,observed,95.42,765.0,730.0,680.0,730.0,Lega,51.53639306103355,Lega,42.0278334556768,9.508559605356751,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,420,Calvignasco,Milano,Lombardia,015042,historical,observed,93.7,698.0,654.0,638.0,654.0,Lega,59.62122634900477,Lega,41.73485844430334,17.88636790470143,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,500,Carpiano,Milano,Lombardia,015050,historical,observed,91.53,1783.0,1632.0,1582.0,1632.0,Lega,39.97850098738443,Forza Italia,37.381710137750694,2.5967908496337344,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,550,Casarile,Milano,Lombardia,015055,historical,observed,93.5,2184.0,2042.0,1960.0,2042.0,Forza Italia,43.77535767670297,Lega,40.96053423407683,2.8148234426261354,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1140,Lacchiarella,Milano,Lombardia,015115,historical,observed,93.81,6060.0,5685.0,5474.0,5685.0,P.POPOLARE ITALIANO,30.013869625520112,Lega,27.295423023578362,2.71844660194175,altro,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1240,Locate Di Triulzi,Milano,Lombardia,015125,historical,observed,94.3,6846.0,6456.0,6235.0,6456.0,Forza Italia,41.976771136463135,PDS,39.401509103551284,2.5752620329118514,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1570,Noviglio,Milano,Lombardia,015158,historical,observed,95.31,1832.0,1746.0,1688.0,1746.0,Forza Italia,13.381529180830182,Forza Italia,9.623210609470005,3.758318571360176,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1580,Opera,Milano,Lombardia,015159,historical,observed,93.18,10778.0,10043.0,9765.0,10043.0,Forza Italia,43.51116155883466,Lega,37.22096102913356,6.290200529701096,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1720,Pieve Emanuele,Milano,Lombardia,015173,historical,observed,93.29,12543.0,11701.0,11259.0,11701.0,Forza Italia,53.83298747330314,Lega,53.620927308805044,0.21206016449809795,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1880,Rozzano,Milano,Lombardia,015189,historical,observed,92.13,31747.0,29250.0,28119.0,29250.0,Forza Italia,39.53443366232617,Lega,33.59044538442399,5.943988277902186,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2340,Vernate,Milano,Lombardia,015236,historical,observed,93.21,1781.0,1660.0,1549.0,1660.0,Lega,34.43223443223443,Forza Italia,17.554240631163708,16.877993801070723,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2450,Zibido San Giacomo,Milano,Lombardia,015247,historical,observed,94.19,3772.0,3553.0,3420.0,3553.0,Forza Italia,34.73684210526316,PDS,20.555555555555554,14.181286549707604,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,110,Assago,Milano,Lombardia,015011,historical,observed,95.2,5125.0,4879.0,4760.0,4879.0,Lega,47.24679235756084,Forza Italia,41.2056948614605,6.041097496100342,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,360,Buccinasco,Milano,Lombardia,015036,historical,observed,94.62,16960.0,16047.0,15665.0,16047.0,Forza Italia,48.24753623413242,Lega,43.748569832878914,4.498966401253504,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,740,Cesano Boscone,Milano,Lombardia,015074,historical,observed,91.89,21052.0,19344.0,18635.0,19344.0,Lega,59.707033364785225,Forza Italia,44.517316586490125,15.1897167782951,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,780,Cisliano,Milano,Lombardia,015078,historical,observed,94.88,2636.0,2501.0,2423.0,2501.0,Forza Italia,43.17857708762478,Lega,31.19553161147203,11.98304547615275,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,930,Corsico,Milano,Lombardia,015093,historical,observed,91.65,31535.0,28903.0,27818.0,28903.0,Forza Italia,47.657412691485675,Lega,45.0389964975886,2.618416193897076,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,970,Cusago,Milano,Lombardia,015097,historical,observed,95.26,1857.0,1769.0,1724.0,1769.0,Lega,20.71870899422178,P.POPOLARE ITALIANO,14.802366536982895,5.916342457238887,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1020,Gaggiano,Milano,Lombardia,015103,historical,observed,94.65,6558.0,6207.0,6038.0,6207.0,Lega,57.16025632153682,Forza Italia,35.154249650533544,22.006006671003277,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2190,Trezzano Sul Naviglio,Milano,Lombardia,015220,historical,observed,93.34,16130.0,15055.0,14679.0,15055.0,Lega,18.957144074294966,Lega,12.99309874755048,5.964045326744486,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,20,Abbiategrasso,Milano,Lombardia,015002,historical,observed,90.23,23389.0,21103.0,20307.0,21103.0,Lega,57.05946666291275,Forza Italia,41.7622741200595,15.297192542853246,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,50,Albairate,Milano,Lombardia,015005,historical,observed,92.74,2836.0,2630.0,2548.0,2630.0,Lega,54.75094437732271,Lega,48.429606292790105,6.321338084532606,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,120,Bareggio,Milano,Lombardia,015012,historical,observed,92.97,12019.0,11174.0,10809.0,11174.0,Forza Italia,45.5738747762845,Lega,44.719364624229165,0.8545101520553331,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,220,Besate,Milano,Lombardia,015022,historical,observed,93.96,1259.0,1183.0,1126.0,1183.0,PDS,38.8705084060283,Lega,35.94960315008397,2.9209052559443265,altro,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,610,Cassinetta Di Lugagnano,Milano,Lombardia,015061,historical,observed,93.41,1017.0,950.0,894.0,950.0,PDS,46.86315362159645,Forza Italia,31.849034977225106,15.014118644371347,altro,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,850,Corbetta,Milano,Lombardia,015085,historical,observed,92.15,11066.0,10197.0,9798.0,10197.0,Lega,56.87009187496792,Lega,46.19411794898116,10.67597392598676,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1110,Gudo Visconti,Milano,Lombardia,015112,historical,observed,95.96,916.0,879.0,851.0,879.0,Forza Italia,35.54830568465113,Lega,30.316087531931917,5.232218152719216,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1290,Magenta,Milano,Lombardia,015130,historical,observed,90.88,20145.0,18308.0,17601.0,18308.0,Forza Italia,37.4671426890031,Lega,35.89783828318098,1.5693044058221162,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1490,Morimondo,Milano,Lombardia,015150,historical,observed,94.0,917.0,862.0,826.0,862.0,Lega,57.01254275940707,Lega,30.786773090079816,26.225769669327253,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1500,Motta Visconti,Milano,Lombardia,015151,historical,observed,94.13,4681.0,4406.0,4233.0,4406.0,Forza Italia,41.26910759681733,Lega,39.354221004325005,1.9148865924923228,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1640,Ozzero,Milano,Lombardia,015165,historical,observed,93.78,1093.0,1025.0,972.0,1025.0,Lega,45.9070796460177,Forza Italia,44.80088495575221,1.1061946902654896,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1830,Robecco Sul Naviglio,Milano,Lombardia,015184,historical,observed,94.12,4337.0,4082.0,3938.0,4082.0,Lega,46.7866323907455,Forza Italia,41.70237075121394,5.084261639531562,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1870,Rosate,Milano,Lombardia,015188,historical,observed,95.31,3137.0,2990.0,2889.0,2990.0,Forza Italia,12.417812313209803,Lega,11.461446503287508,0.9563658099222945,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2030,Sedriano,Milano,Lombardia,015204,historical,observed,92.61,7403.0,6856.0,6547.0,6856.0,Forza Italia,49.94317042187604,Lega,47.66998729691783,2.2731831249582086,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2330,Vermezzo,,Lombardia,2330,historical,observed,95.25,1812.0,1726.0,1661.0,1726.0,Lega,21.691176470588236,Forza Italia,20.3125,1.3786764705882355,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2410,Vittuone,Milano,Lombardia,015243,historical,observed,93.61,6027.0,5642.0,5441.0,5642.0,Forza Italia,26.190038595846353,PDS,18.25032163205293,7.939716963793423,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2440,Zelo Surrigone,,Lombardia,2440,historical,observed,93.57,684.0,640.0,615.0,640.0,Forza Italia,37.886178861788615,Lega,13.821138211382115,24.0650406504065,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,70,Arconate,Milano,Lombardia,015007,historical,observed,93.75,3886.0,3643.0,3494.0,3643.0,Forza Italia,49.101024290063236,P.POPOLARE ITALIANO,46.11226628979851,2.988758000264724,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,100,Arluno,Milano,Lombardia,015010,historical,observed,94.58,7451.0,7047.0,6794.0,7047.0,Lega,41.85742315238718,Forza Italia,33.355134074558535,8.502289077828642,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,190,Bernate Ticino,Milano,Lombardia,015019,historical,observed,94.91,2259.0,2144.0,2054.0,2144.0,Forza Italia,45.89828809151012,Lega,34.1795762383586,11.718711853151518,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,260,Boffalora Sopra Ticino,Milano,Lombardia,015026,historical,observed,95.03,3421.0,3251.0,3124.0,3251.0,Forza Italia,35.94942553058467,Lega,34.86733579889483,1.082089731689841,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,380,Buscate,Milano,Lombardia,015038,historical,observed,92.84,3534.0,3281.0,3167.0,3281.0,Lega,59.86229942672774,Forza Italia,39.69694350819577,20.165355918531965,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,410,Busto Garolfo,Milano,Lombardia,015041,historical,observed,93.9,9768.0,9172.0,8826.0,9172.0,Lega,59.657218193803565,Forza Italia,55.749128919860624,3.9080892739429416,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,580,Casorezzo,Milano,Lombardia,015058,historical,observed,94.19,3580.0,3372.0,3266.0,3372.0,Lega,43.16857327865314,Forza Italia,39.30138858910713,3.867184689546015,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,620,Castano Primo,Milano,Lombardia,015062,historical,observed,93.23,7992.0,7451.0,7018.0,7451.0,Lega,58.42288299779786,Forza Italia,28.76018339129493,29.662699606502933,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,960,Cuggiono,Milano,Lombardia,015096,historical,observed,93.75,6163.0,5778.0,5540.0,5778.0,Forza Italia,29.204031426077297,Lega,26.02968018411237,3.174351241964928,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,981,Dairago,Milano,Lombardia,015099,historical,observed,94.01,3539.0,3327.0,3185.0,3327.0,Forza Italia,26.21664050235479,Lega,24.175824175824175,2.0408163265306136,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1120,Inveruno,Milano,Lombardia,015113,historical,observed,94.56,6782.0,6413.0,6201.0,6413.0,Lega,46.24519888746634,Lega,45.69334687210277,0.5518520153635649,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1300,Magnago,Milano,Lombardia,015131,historical,observed,93.13,5834.0,5433.0,5232.0,5433.0,Lega,59.85903021287147,P.POPOLARE ITALIANO,42.503453405589205,17.35557680728226,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1330,Marcallo Con Casone,Milano,Lombardia,015134,historical,observed,93.68,4243.0,3975.0,3832.0,3975.0,Forza Italia,40.83806818181818,Forza Italia,40.41193181818182,0.42613636363635976,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1430,Mesero,Milano,Lombardia,015144,historical,observed,92.98,2593.0,2411.0,2334.0,2411.0,Lega,13.92841096300734,Forza Italia,8.65658229743897,5.2718286655683695,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1540,Nosate,Milano,Lombardia,015155,historical,observed,93.8,532.0,499.0,474.0,499.0,Lega,40.790724196920735,Forza Italia,34.21402775137807,6.576696445542666,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1630,Ossona,Milano,Lombardia,015164,historical,observed,95.53,2909.0,2779.0,2660.0,2779.0,Forza Italia,36.996195622208745,Lega,34.84589513149914,2.150300490709604,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1820,Robecchetto Con Induno,Milano,Lombardia,015183,historical,observed,94.19,3305.0,3113.0,3003.0,3113.0,Lega,39.311309952928205,Forza Italia,34.64653746660447,4.664772486323734,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1990,Santo Stefano Ticino,Milano,Lombardia,015200,historical,observed,93.57,2940.0,2751.0,2571.0,2751.0,Lega,38.49247385958865,Forza Italia,33.092037228541884,5.400436631046766,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2250,Turbigo,Milano,Lombardia,015226,historical,observed,92.9,6045.0,5616.0,5325.0,5616.0,Lega,18.517293829773163,Lega,14.879968256067722,3.637325573705441,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2271,Vanzaghello,Milano,Lombardia,015249,historical,observed,92.76,3851.0,3572.0,3451.0,3572.0,Lega,20.135842648931654,Lega,17.093533323899816,3.0423093250318374,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,2351,Villa Cortese,Milano,Lombardia,015248,historical,observed,94.65,4825.0,4567.0,4388.0,4567.0,Forza Italia,27.324521422060165,Lega,22.037374658158615,5.28714676390155,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,460,Canegrate,Milano,Lombardia,015046,historical,observed,93.5,9421.0,8809.0,8476.0,8809.0,Lega,29.239975120999162,Forza Italia,25.73689741701638,3.5030777039827825,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,720,Cerro Maggiore,Milano,Lombardia,015072,historical,observed,92.86,11870.0,11023.0,10596.0,11023.0,PDS,35.43986909869626,Forza Italia,35.06284921466758,0.3770198840286838,altro,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1170,Legnano,Milano,Lombardia,015118,historical,observed,91.58,44128.0,40413.0,39142.0,40413.0,Lega,28.636458302341495,P.POPOLARE ITALIANO,26.25628514474428,2.3801731575972163,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1670,Parabiago,Milano,Lombardia,015168,historical,observed,92.67,19503.0,18074.0,17489.0,18074.0,Lega,23.857896404540455,Forza Italia,17.762949432443012,6.094946972097443,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
camera_1994,1994,,1800,Rescaldina,Milano,Lombardia,015181,historical,observed,92.95,9859.0,9164.0,8801.0,9164.0,Forza Italia,53.27130852340937,Lega,40.66626650660264,12.605042016806728,centro-destra,turnout_from_clean|counts_corrected_from_turnout|party_rows_checked,clean_ingest_party_results_checked
