party_std,party_display_name,party_family,bloc,color,aliases,valid_from,valid_to,comparability_note
DC,DC,cattolico-popolare,centro,#2e7d32,Dc,1946,,heuristic_party_parse
Psiup,Psiup,altro,altro,#64748b,Psiup,1946,,heuristic_party_parse
PCI,PCI,sinistra storica,sinistra,#c62828,Pci,1946,,heuristic_party_parse
Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,#64748b,Un.Democ.Nazionale,1946,,heuristic_party_parse
Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,#64748b,Fr.Uomo Qualunque,1946,,heuristic_party_parse
Azione / IV,Azione / IV,liberale-riformista,centro,#fb923c,Partito d'Azione,1946,,heuristic_party_parse
Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,#64748b,Blocco Naz.Liberta',1946,,heuristic_party_parse
Pri,Pri,altro,altro,#64748b,Pri,1946,,heuristic_party_parse
P.Contadini d'Italia,P.Contadini d'Italia,altro,altro,#64748b,P.Contadini d'Italia,1946,,heuristic_party_parse
Pc.Internazionalista,Pc.Internazionalista,altro,altro,#64748b,Pc.Internazionalista,1946,,heuristic_party_parse
Schieramento Naz.,Schieramento Naz.,altro,altro,#64748b,Schieramento Naz.,1946,,heuristic_party_parse
Cdr,Cdr,altro,altro,#64748b,Cdr,1946,,heuristic_party_parse
MSI,MSI,destra nazionale,destra,#0d47a1,Msi,1946,,heuristic_party_parse
Blocco Nazionale,Blocco Nazionale,altro,altro,#64748b,Blocco Nazionale,1946,,heuristic_party_parse
Fr.Democr.Popolare,Fr.Democr.Popolare,altro,altro,#64748b,Fr.Democr.Popolare,1946,,heuristic_party_parse
Blocco Pop.Unionista,Blocco Pop.Unionista,altro,altro,#64748b,Blocco Pop.Unionista,1946,,heuristic_party_parse
P.Naz.Mon.All.D.Lav.,P.Naz.Mon.All.D.Lav.,altro,altro,#64748b,P.Naz.Mon.All.D.Lav.,1946,,heuristic_party_parse
Conc.Naz.Combat.Unit,Conc.Naz.Combat.Unit,altro,altro,#64748b,Conc.Naz.Combat.Unit,1946,,heuristic_party_parse
Mov.Naz.Dem.Soc.,Mov.Naz.Dem.Soc.,altro,altro,#64748b,Mov.Naz.Dem.Soc.,1946,,heuristic_party_parse
PSI,PSI,sinistra socialista,centro-sinistra,#ec407a,Unita' Socialista,1946,,heuristic_party_parse
Un.Mov.Federalisti,Un.Mov.Federalisti,altro,altro,#64748b,Un.Mov.Federalisti,1946,,heuristic_party_parse
Fr.Degli Italiani,Fr.Degli Italiani,altro,altro,#64748b,Fr.Degli Italiani,1946,,heuristic_party_parse
P.Demolaburista It.,P.Demolaburista It.,altro,altro,#64748b,P.Demolaburista It.,1946,,heuristic_party_parse
Psdi,Psdi,altro,altro,#64748b,Psdi,1946,,heuristic_party_parse
All.Democ.Nazionale,All.Democ.Nazionale,altro,altro,#64748b,All.Democ.Nazionale,1946,,heuristic_party_parse
