election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,702,72.37113402061856,1.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Psiup,Psiup,altro,altro,136,14.02061855670103,2.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,23,2.3711340206185567,5.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,45,4.639175257731959,3.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,12,1.2371134020618557,7.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,25,2.5773195876288657,4.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,17,1.7525773195876289,6.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016001,Adrara San Martino,Bergamo,Lombardia,Pri,Pri,altro,altro,10,1.0309278350515463,8.0,historical,observed_opendata_zip,016001,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,295,76.62337662337663,1.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Psiup,Psiup,altro,altro,32,8.311688311688311,2.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,7,1.8181818181818181,6.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,26,6.753246753246753,3.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,4,1.0389610389610389,7.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,8,2.0779220779220777,5.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,9,2.3376623376623376,4.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016002,Adrara San Rocco,Bergamo,Lombardia,Pri,Pri,altro,altro,4,1.0389610389610389,7.0,historical,observed_opendata_zip,016002,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,489,57.73317591499409,1.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Psiup,Psiup,altro,altro,209,24.675324675324674,2.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,37,4.368358913813459,4.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,34,4.014167650531287,5.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,7,0.8264462809917356,8.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,41,4.8406139315230226,3.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,18,2.125147579693034,6.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016003,Albano Sant'Alessandro,Bergamo,Lombardia,Pri,Pri,altro,altro,12,1.4167650531286895,7.0,historical,observed_opendata_zip,016003,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,3914,62.78472890599935,1.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Psiup,Psiup,altro,altro,1250,20.051331408405517,2.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,391,6.272056464549245,3.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Un.Democ.Nazionale,Un.Democ.Nazionale,altro,altro,194,3.1119666345845363,4.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Fr.Uomo Qualunque,Fr.Uomo Qualunque,altro,altro,100,1.6041065126724416,7.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Partito d'Azione,Azione / IV,liberale-riformista,centro,179,2.8713506576836703,5.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Blocco Naz.Liberta',Blocco Naz.Liberta',altro,altro,133,2.133461661854347,6.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016004,Albino,Bergamo,Lombardia,Pri,Pri,altro,altro,73,1.1709977542508823,8.0,historical,observed_opendata_zip,016004,official_eligendo_opendata_zip|geometry_name|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016005,Alme Con Villa,Bergamo,Lombardia,Dc,DC,cattolico-popolare,centro,2045,74.04055032585083,1.0,historical,observed_opendata_zip,016005,official_eligendo_opendata_zip|historical_geometry_prefix_province|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016005,Alme Con Villa,Bergamo,Lombardia,Psiup,Psiup,altro,altro,297,10.753077480086894,2.0,historical,observed_opendata_zip,016005,official_eligendo_opendata_zip|historical_geometry_prefix_province|share_recomputed_from_valid_votes
assemblea_costituente_1946,1946,1946-06-02,016005,Alme Con Villa,Bergamo,Lombardia,Pci,PCI,sinistra storica,sinistra,82,2.9688631426502536,4.0,historical,observed_opendata_zip,016005,official_eligendo_opendata_zip|historical_geometry_prefix_province|share_recomputed_from_valid_votes
