election_key,election_year,election_date,municipality_id,municipality_name,province,region,party_raw,party_std,party_family,bloc,votes,vote_share,rank,territorial_mode,territorial_status,geometry_id,comparability_note
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,DC,DC,cattolico-popolare,centro,643,39.74042027194067,1.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,PCI,PCI,sinistra storica,sinistra,343,21.199011124845487,2.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,PSI,PSI,sinistra socialista,centro-sinistra,250,15.451174289245984,3.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,PLI-PRI,PLI,liberale,centro-destra,159,9.826946847960444,4.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,MSI-DN,Destra naz.,destra nazionale,destra,68,4.202719406674907,5.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,P.RAD,Radicali,radicale,liberale,65,4.017305315203956,6.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,PSDI,PSDI,socialdemocratico,centro-sinistra,58,3.584672435105068,7.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,DEM.PROL,PDUP / DemProl,sinistra storica,sinistra,26,1.6069221260815822,8.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,LIGA VENETA,Liga Veneta,regionalista,regionalista,4,0.2472187886279357,9.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
europee_1984,1984,1984-06-17,001001,Agliè,Torino,Piemonte,UV-PS.D'AZ.,UV - PSd'Az,regionalista,regionalista,2,0.12360939431396785,10.0,harmonized,projected_to_2021_geometry,001001,official_eligendo_opendata_zip|situas_lineage_projection_2021|share_recomputed|party_taxonomy_exact
