normalized_name,normalized_province,geometry_id,province,province_code
abbadia cerreto,lodi,098001,Lodi,98
abbadia lariana,lecco,097001,Lecco,97
abbiategrasso,milano,015002,Milano,215
acquafredda,brescia,017001,Brescia,17
acquanegra cremonese,cremona,019001,Cremona,19
acquanegra sul chiese,mantova,020001,Mantova,20
adrara san martino,bergamo,016001,Bergamo,16
adrara san rocco,bergamo,016002,Bergamo,16
adro,brescia,017002,Brescia,17
agnadello,cremona,019002,Cremona,19
agnosine,brescia,017003,Brescia,17
agra,varese,012001,Varese,12
agrate brianza,monza e brianza,108001,Monza e Brianza,108
aicurzio,monza e brianza,108002,Monza e Brianza,108
airuno,lecco,097002,Lecco,97
alagna,pavia,018001,Pavia,18
albairate,milano,015005,Milano,215
albano sant alessandro,bergamo,016003,Bergamo,16
albaredo per san marco,sondrio,014001,Sondrio,14
albavilla,como,013003,Como,13
albese con cassano,como,013004,Como,13
albiate,monza e brianza,108003,Monza e Brianza,108
albino,bergamo,016004,Bergamo,16
albiolo,como,013005,Como,13
albizzate,varese,012002,Varese,12
albonese,pavia,018003,Pavia,18
albosaggia,sondrio,014002,Sondrio,14
albuzzano,pavia,018004,Pavia,18
alfianello,brescia,017004,Brescia,17
algua,bergamo,016248,Bergamo,16
alma,bergamo,016005,Bergamo,16
almenno san bartolomeo,bergamo,016006,Bergamo,16
almenno san salvatore,bergamo,016007,Bergamo,16
alserio,como,013006,Como,13
alta valle intelvi,como,013253,Como,13
alzano lombardo,bergamo,016008,Bergamo,16
alzate brianza,como,013007,Como,13
ambivere,bergamo,016009,Bergamo,16
andalo valtellino,sondrio,014003,Sondrio,14
anfo,brescia,017005,Brescia,17
angera,varese,012003,Varese,12
angolo terme,brescia,017006,Brescia,17
annicco,cremona,019003,Cremona,19
annone di brianza,lecco,097003,Lecco,97
antegnate,bergamo,016010,Bergamo,16
anzano del parco,como,013009,Como,13
appiano gentile,como,013010,Como,13
aprica,sondrio,014004,Sondrio,14
arcene,bergamo,016011,Bergamo,16
arcisate,varese,012004,Varese,12
arconate,milano,015007,Milano,215
arcore,monza e brianza,108004,Monza e Brianza,108
ardenno,sondrio,014005,Sondrio,14
ardesio,bergamo,016012,Bergamo,16
arena po,pavia,018005,Pavia,18
arese,milano,015009,Milano,215
argegno,como,013011,Como,13
arluno,milano,015010,Milano,215
arosio,como,013012,Como,13
arsago seprio,varese,012005,Varese,12
artogne,brescia,017007,Brescia,17
arzago d adda,bergamo,016013,Bergamo,16
asola,mantova,020002,Mantova,20
assago,milano,015011,Milano,215
asso,como,013013,Como,13
averara,bergamo,016014,Bergamo,16
aviatico,bergamo,016015,Bergamo,16
azzanello,cremona,019004,Cremona,19
azzano mella,brescia,017008,Brescia,17
azzano san paolo,bergamo,016016,Bergamo,16
azzate,varese,012006,Varese,12
azzio,varese,012007,Varese,12
azzone,bergamo,016017,Bergamo,16
badia pavese,pavia,018006,Pavia,18
bagnaria,pavia,018007,Pavia,18
bagnatica,bergamo,016018,Bergamo,16
bagnolo cremasco,cremona,019005,Cremona,19
bagnolo mella,brescia,017009,Brescia,17
bagnolo san vito,mantova,020003,Mantova,20
bagolino,brescia,017010,Brescia,17
ballabio,lecco,097004,Lecco,97
baranzate,milano,015250,Milano,215
barasso,varese,012008,Varese,12
barbariga,brescia,017011,Brescia,17
barbata,bergamo,016019,Bergamo,16
barbianello,pavia,018008,Pavia,18
bardello con malgesso e bregano,varese,012144,Varese,12
bareggio,milano,015012,Milano,215
barghe,brescia,017012,Brescia,17
bariano,bergamo,016020,Bergamo,16
barlassina,monza e brianza,108005,Monza e Brianza,108
barni,como,013015,Como,13
barzago,lecco,097005,Lecco,97
barzana,bergamo,016021,Bergamo,16
barzana2,lecco,097006,Lecco,97
barzio,lecco,097007,Lecco,97
bascapa,pavia,018009,Pavia,18
basiano,milano,015014,Milano,215
basiglio,milano,015015,Milano,215
bassano bresciano,brescia,017013,Brescia,17
